query,value,keyword,type
lula,100,bolsonaro,top
jair bolsonaro,94,bolsonaro,top
bolsonaro hoje,39,bolsonaro,top
michelle bolsonaro,32,bolsonaro,top
governo bolsonaro,27,bolsonaro,top
lula e bolsonaro,16,bolsonaro,top
eduardo bolsonaro,14,bolsonaro,top
bolsonaro preso,14,bolsonaro,top
pix bolsonaro,13,bolsonaro,top
joias bolsonaro,13,bolsonaro,top
bolsonaro noticias,13,bolsonaro,top
bolsonaro twitter,12,bolsonaro,top
presidente jair bolsonaro,10,bolsonaro,top
bolsonaro julgamento,10,bolsonaro,top
carlos bolsonaro,10,bolsonaro,top
renan bolsonaro,10,bolsonaro,top
michele bolsonaro,9,bolsonaro,top
bolsonaro inelegivel,8,bolsonaro,top
bolsonaro tse,8,bolsonaro,top
bolsonaro inelegível,8,bolsonaro,top
moraes,8,bolsonaro,top
filho bolsonaro,8,bolsonaro,top
tse,8,bolsonaro,top
governo lula,8,bolsonaro,top
idade bolsonaro,7,bolsonaro,top
joias bolsonaro,139600,bolsonaro,rising
mauro cid,30450,bolsonaro,rising
bolsonaro mauro cid,29250,bolsonaro,rising
bolsonaro coroação,17100,bolsonaro,rising
joias michelle bolsonaro,16150,bolsonaro,rising
eduardo bolsonaro professores,14200,bolsonaro,rising
bolsonaro chega ao brasil,13450,bolsonaro,rising
yanomami,13100,bolsonaro,rising
julgamento jair bolsonaro tse,12200,bolsonaro,rising
bolsonaro inelegível,11650,bolsonaro,rising
lula coroação,11500,bolsonaro,rising
bolsonaro inelegivel,11450,bolsonaro,rising
julgamento bolsonaro tse,9850,bolsonaro,rising
pix bolsonaro cpf,8200,bolsonaro,rising
julgamento de bolsonaro,7450,bolsonaro,rising
chico buarque premio camões bolsonaro,6050,bolsonaro,rising
bolsonaro ganhou na mega sena,5850,bolsonaro,rising
bolsonaro elegível,5650,bolsonaro,rising
bolsonaro julgamento,5250,bolsonaro,rising
jair bolsonaro viagem,4900,bolsonaro,rising
anderson torres,4300,bolsonaro,rising
jair bolsonaro seguidores,4250,bolsonaro,rising
tacla duran,3500,bolsonaro,rising
julgamento bolsonaro horario,3350,bolsonaro,rising
zanin,3250,bolsonaro,rising
