snippet,sentimento,subjetividade
"Dário Saadi ... Dário Jorge Giolo Saadi (Pedregulho, 30 de maio de 1963) é um político brasileiro e médico urologista, conhecido por sua atuação na cidade de ...",0.0,0.0
"Sou médico urologista, fui vereador 4x, presidente do Hospital Mário Gatti, Secretário de Esportes de Campinas e eleito Prefeito de Campinas.",0.0,0.0
"Dário Saadi. 28574 likes · 595 talking about this. Sou Prefeito de Campinas e médico urologista. Fui vereador 4x, presidente do Hospital Mário Gatti.",0.0,0.0
"37K Followers, 4906 Following, 3295 Posts - See Instagram photos and videos from Dário Saadi (@dariosaadi)",0.0,0.1
"Jul 25, 2023 ... (Q64849986) · Dário Saadi · Statements · Sitelinks. Wikipedia(1 entry).",0.0,0.0
"Feb 22, 2022 ... After this announcement, on January 12, 2022, Mayor Dario Saadi ... Dário Saadi, Mayor of Campinas, 2021. Cities interested in becoming ...",0.35,0.675
Confira o perfil do candidato a prefeito Dario Saadi nas eleições de 2020.,0.0,0.0
Discover & share this Dário Saadi Sticker for iOS and Android. Bring your texts and messages to life with our collection of GIPHY Stickers.,0.0,0.0
Dário Saadi 正在使用Facebook。加入Facebook，与Dário Saadi 和其他可能认识的用户互动。Facebook 让人们相互分享，让世界更开放、联系更紧密。,0.0,0.0
"Nov 29, 2020 ... Dário Saadi (Republicanos) é eleito prefeito de Campinas (SP) ... Os eleitores de Campinas (SP) elegeram o candidato Dário Saadi, do Republicanos, ...",0.0,0.0
"Jun 19, 2023 ... Os embriões são imóveis de 15 metros quadrados, com um banheiro e um cômodo com janela, considerados a etapa inicial de construção de uma ...",0.0,0.0
"Aug 14, 2023 ... ... . Mayor Dário Saadi etched his signature onto a decree that has carved a pivotal chapter in the city's relentless pursuit of resilience.",0.5,0.8
"Dário Saadi e Wanderley de Almeida tomam posse em sessão da Câmara 01/01/2021 - 12:36 ... Dário Saadi tomou posse, na manhã desta sexta-feira, 1º de janeiro, como ...",0.0,0.0
"Sep 14, 2020 ... Ser presidente do Mário Gatti me fez entender que para melhorar o serviço público é preciso participar das decisões públicas.",0.0,0.0
"Facebook wordmark. Iniciar sesión. Fotos de Dário Saadi. 379 fotos, 3 videos. Cargando... More content.",0.5,0.5
"Oct 25, 2023 ... out.2023) sobre a eleição municipal de Campinas (SP), marcada para 2024, mostra que o atual prefeito da cidade, Dário Saadi (Republicanos), ...",0.0,0.0
"Nov 29, 2020 ... Durante a campanha eleitoral, Dário dissse que planeja lançar dois chamamentos públicos para concluir a construção de um ginásio de treinamentos ...",0.0,0.0
"Eu cheguei em Campinas há 38 anos para iniciar meus estudos e fiquei aqui. Terminei a faculdade, fiz minha família, encontrei novos amigos e tive meus ...",0.0,0.0
"Cambiar al sitio web para móviles básico. Facebook wordmark. Entrar. Fotos de Dário Saadi. 381 fotos, 3 vídeos. Cargando.",0.0,0.0
"Saadi disse que é um momento histórico e que chega em boa hora, já que Campinas comemora 248 anos de fundação amanhã, 14 de julho. “Nós trabalhamos muito por ...",0.0,0.0
"May 24, 2023 ... O prefeito de Campinas/SP, Dário Saadi, vice-presidente de Saúde da Frente Nacional de Prefeitos (FNP) representou a entidade em uma ...",0.0,0.0
"Sep 19, 2023 ... Dário Saadi cumpre agenda na China ... Shenzhen (CHI) – O prefeito de Campinas (SP), Dário Saadi (Republicanos), está na China, onde cumpre missão ...",0.0,0.0
"Apr 18, 2023 ... Prefeito Dário Saadi representa FNP em audiência pública sobre piso nacional da enfermagem ... O vice-presidente de Saúde da Frente Nacional de ...",0.0,0.0
"Apr 28, 2023 ... Lideranças da APAS se reúnem com Dário Saadi, Prefeito de Campinas ... O Prefeito de Campinas, Dário Saadi, recebeu em seu gabinete, na sede da ...",0.0,0.0
"Jan 1, 2021 ... O perfil de Dário Saadi, o novo prefeito de Campinas ... Dário Jorge Giolo Saadi tem 57 anos, e nasceu em Pedregulho, na região de Franca, mesma ...",0.0,0.0
"Oct 26, 2023 ... O prefeito de Campinas Dário Saadi entregou a planta e o alvará de regularização de todos os prédios da Sociedade Hípica de Campinas, ...",0.0,0.0
Veja as reportagens especias sobre Dário Saadi no canal de tópicos do Estadão.,0.0,0.0
"6 de janeiro de 2021 Dário Saadi sancionará em janeiro lei que favorece construção civil em ... O prefeito eleito Dário Saadi (Republicanos) sancionará, ...",0.0,0.0
"Feb 18, 2022 ... Prefeito Dario Saadi reitera apoio à implantação do hospital metropolitano ... Com objetivo de fortalecer ainda mais as relações da Unicamp com a ...",0.0,0.0
Este é um espaço para tratarmos de assuntos relacionados a nossa sociedade como Educação; Saúde; Cultura; Economia; Direito do consumidor; Meio Ambiente; ...,0.0,0.0
"Nov 29, 2020 ... Dário Saadi (Republicanos) é eleito prefeito de Campinas.",0.0,0.0
"Dirceu Filho recebe prefeito de Campinas, Dario Saadi, no Gabinete ... O prefeito de Pedregulho, Dirceu Polo Filho, recebeu nesta segunda-feira (20), no Ganinete, ...",0.0,0.0
"Nov 29, 2020 ... Neste domingo (29/11), o candidato Dario Saadi (REPUBLICANOS) teve 57,07% dos votos em Campinas (SP), garantindo sua vitória sobre o ...",0.0,0.0
"DARIO SAADI. 2020. Nome completo, DARIO JORGE GIOLO SAADI. Data de nascimento, 30 ... DARIO SAADI. Nº na urna, 10. Nome do partido, REPUBLICANOS. Sigla/Nº do ...",0.0,0.0
Governador Tarcísio de Freitas e Prefeito Dário Saadi visitam locais atingidos pelas chuvas.,0.0,0.0
"Nov 29, 2020 ... Candidato do Republicanos elegeu-se com 57,07% dos votos para a prefeitura de Campinas. Rafa Zimbaldi (PL) ficou em segundo lugar, ...",0.0,0.0
